point_id,lat,long,idp_issueddate_iso,idp_validtime_iso,value,name,requested_on
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T08:00:00-08:00,16,ds_apm25h01_bc_B28,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T08:00:00-08:00,97,ds_apm25h01_bc_B28,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T09:00:00-08:00,6,ds_apm25h01_bc_B29,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T09:00:00-08:00,15,ds_apm25h01_bc_B29,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T09:00:00-08:00,92,ds_apm25h01_bc_B29,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T10:00:00-08:00,1,ds_apm25h01_bc_B30,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T10:00:00-08:00,13,ds_apm25h01_bc_B30,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T10:00:00-08:00,61,ds_apm25h01_bc_B30,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T11:00:00-08:00,2,ds_apm25h01_bc_B31,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T11:00:00-08:00,8,ds_apm25h01_bc_B31,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T11:00:00-08:00,18,ds_apm25h01_bc_B31,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T12:00:00-08:00,1,ds_apm25h01_bc_B32,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T12:00:00-08:00,7,ds_apm25h01_bc_B32,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T12:00:00-08:00,3,ds_apm25h01_bc_B32,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T13:00:00-08:00,0,ds_apm25h01_bc_B33,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T13:00:00-08:00,9,ds_apm25h01_bc_B33,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T13:00:00-08:00,0,ds_apm25h01_bc_B33,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T14:00:00-08:00,6,ds_apm25h01_bc_B34,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T14:00:00-08:00,6,ds_apm25h01_bc_B34,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T14:00:00-08:00,0,ds_apm25h01_bc_B34,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T15:00:00-08:00,9,ds_apm25h01_bc_B35,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T15:00:00-08:00,6,ds_apm25h01_bc_B35,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T15:00:00-08:00,1,ds_apm25h01_bc_B35,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T16:00:00-08:00,9,ds_apm25h01_bc_B36,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T16:00:00-08:00,6,ds_apm25h01_bc_B36,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T16:00:00-08:00,1,ds_apm25h01_bc_B36,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T17:00:00-08:00,7,ds_apm25h01_bc_B37,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T17:00:00-08:00,6,ds_apm25h01_bc_B37,2023-11-11T20:05:16.065896100-08:00
48 miles E of Fresno,36.7,-119.04,2023-11-11T04:00:00-08:00,2023-11-12T17:00:00-08:00,1,ds_apm25h01_bc_B37,2023-11-11T20:05:24.955349600-08:00
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-12T18:00:00-08:00,11,ds_apm25h01_bc_B38,2023-11-11T20:05:41.685120-08:00
Los Angeles,33.948,-118.2567,2023-11-11T04:00:00-08:00,2023-11-12T18:00:00-08:00,13,ds_apm25h01_bc_B38,2023-11-11T20:05:16.065896100-08:00
